Column1,Column2,Column3,Column4
0.9,1.04,1.13,0.85
0.85,1.19,1.07,0.83
0.7,1.16,0.97,1.02
0.76,1.09,0.9,0.95
0.86,1.11,1.16,0.92
0.75,0.81,0.83,1.15
0.82,1.14,1.05,1.1
0.81,1.06,0.93,1.1
0.89,1.07,0.95,0.85
0.94,0.97,0.89,0.99
0.85,1.05,1.01,0.99
0.7,1.0,1.18,1.02
0.62,0.85,0.8,0.88
0.72,1.15,1.1,0.85
0.84,0.92,0.92,0.9
0.88,1.01,0.83,1.15
0.9,0.88,1.06,0.81
0.75,0.98,1.03,0.86
0.87,1.14,1.0,1.04
1.01,0.86,1.03,0.94
1.01,0.85,1.07,0.9
1.0,0.93,1.15,1.19
1.08,0.92,1.17,1.08
0.88,0.94,0.88,1.13
0.88,1.12,1.03,1.18
0.82,0.97,1.14,0.85
0.69,1.06,1.17,1.02
0.78,1.13,1.02,1.11
0.69,1.2,0.89,0.82
0.82,1.16,0.83,1.16
0.82,0.8,0.97,1.06
0.85,1.09,1.02,1.07
0.82,0.87,0.86,1.12
0.83,1.15,0.81,1.1
0.86,1.0,1.14,1.06
0.84,0.96,0.94,1.0
0.68,0.92,1.03,0.91
0.69,1.03,1.09,0.99
0.62,1.19,0.93,0.86
0.6,0.99,0.88,1.08
0.6,0.95,0.97,1.19
0.62,0.92,0.82,0.82
0.6,1.06,1.01,0.93
0.6,1.16,0.93,0.85
0.68,1.03,1.07,0.87
0.63,1.0,0.95,1.17
0.61,0.82,1.05,1.02
0.6,1.07,1.04,1.05
0.6,0.95,0.9,1.13
0.6,1.1,1.16,0.82
0.65,1.09,1.16,0.91
0.66,1.18,1.13,1.17
0.73,0.93,1.07,1.09
0.6,0.96,0.94,1.17
0.6,1.13,0.96,0.97
0.62,0.92,0.84,0.97
0.6,0.86,1.12,1.16
0.6,1.19,0.94,1.18
0.61,0.88,1.18,0.98
0.7,0.92,0.96,1.03
0.76,1.13,0.97,1.06
0.69,0.89,0.91,0.83
0.71,0.83,1.06,1.0
0.73,1.19,1.05,1.2
0.64,1.02,0.97,1.17
0.69,1.01,1.13,0.83
0.6,1.01,0.86,0.88
0.64,0.82,0.92,1.13
0.74,1.12,1.04,0.86
0.63,1.19,1.11,1.15
0.69,1.02,1.16,1.11
0.63,1.0,1.11,1.02
0.68,1.0,1.05,0.98
0.67,1.01,1.01,0.87
0.78,0.88,0.94,0.88
0.93,0.99,0.94,1.19
0.95,1.03,1.12,1.08
0.85,0.97,1.01,1.2
0.9,0.84,0.8,1.06
0.96,1.0,1.16,0.86
1.09,1.17,1.0,0.9
0.88,0.87,0.97,0.88
0.8,0.84,0.93,0.98
0.72,1.01,0.85,0.83
0.6,1.1,0.98,0.94
0.68,0.9,1.03,0.83
0.78,1.12,0.98,1.08
0.74,0.98,0.87,1.02
0.6,0.84,0.82,1.02
0.6,0.91,0.94,1.07
0.6,0.91,0.97,1.04
0.69,0.97,1.16,1.05
0.64,1.17,0.82,1.12
0.68,0.82,1.0,0.93
0.66,1.05,0.96,0.86
0.68,0.96,1.04,0.92
0.65,0.89,1.05,0.91
0.67,0.97,1.16,1.04
0.76,0.91,1.04,0.83
0.72,1.1,0.84,0.82
0.75,0.99,0.85,0.86
0.81,1.13,0.91,1.07
0.96,1.15,1.02,0.95
0.91,1.15,0.97,1.0
0.89,1.08,1.01,0.91
0.95,0.96,1.12,1.11
1.14,1.03,0.85,0.86
1.12,0.82,1.0,1.2
1.01,0.91,0.97,0.9
1.08,1.14,1.09,1.05
1.07,1.07,1.13,0.87
1.11,1.08,0.87,0.81
1.28,0.87,0.94,0.89
1.26,0.86,0.85,1.15
1.4,1.2,1.09,0.99
1.4,0.91,1.13,0.99
1.36,0.95,1.09,0.83
1.12,1.07,0.86,1.2
1.14,1.08,1.14,0.9
0.94,1.05,1.07,0.97
1.04,0.94,1.03,1.03
1.11,0.93,1.2,0.81
1.12,1.0,1.0,1.02
0.92,0.91,0.88,0.9
0.77,1.09,1.04,0.93
0.73,0.99,1.11,1.03
0.81,1.05,1.17,0.98
0.86,1.12,1.05,0.88
0.77,1.13,0.92,0.91
0.83,0.86,1.11,1.04
0.79,1.08,0.99,0.86
0.66,1.04,0.88,1.06
0.64,0.96,1.03,0.85
0.7,1.13,1.17,1.14
0.66,1.02,1.13,1.17
0.69,0.98,0.86,0.82
0.68,0.96,0.93,0.96
0.62,1.18,0.96,0.93
0.6,0.88,0.88,0.94
0.72,0.92,1.01,1.09
0.79,0.94,0.96,0.97
0.67,0.81,0.98,0.88
0.6,1.04,0.95,0.88
0.61,1.07,0.99,0.87
0.6,1.0,0.85,0.89
0.66,1.13,1.2,1.18
0.6,1.12,1.02,0.86
0.67,0.9,0.82,0.99
0.71,1.13,1.06,1.03
0.69,1.08,0.97,0.97
0.73,1.06,1.01,1.19
0.6,1.16,1.05,1.18
0.66,1.09,0.87,1.19
0.79,0.98,0.98,1.12
0.74,1.11,1.04,0.86
0.71,0.97,1.13,1.16
0.6,1.08,0.98,0.85
0.6,1.03,0.9,1.08
0.61,1.08,1.01,1.02
0.71,0.83,0.94,0.92
0.6,1.16,1.07,0.91
0.6,1.08,0.98,1.13
0.63,1.05,0.88,0.95
0.75,0.8,1.11,0.82
0.81,1.06,1.05,1.12
0.67,1.15,1.11,0.91
0.63,1.05,1.06,1.2
0.67,0.99,1.06,1.02
0.8,0.87,1.06,1.1
0.87,1.1,1.02,1.08
0.87,1.11,0.93,1.12
0.92,0.86,0.83,0.95
0.8,0.87,0.96,0.81
0.8,1.05,0.84,0.91
0.85,0.98,1.13,0.84
0.79,0.87,1.03,1.14
0.93,1.1,1.16,1.03
0.75,1.12,1.13,0.83
0.68,0.9,0.91,1.07
0.6,0.96,0.86,1.03
0.6,1.13,1.17,1.18
0.6,1.16,0.93,1.0
0.6,1.0,0.99,0.82
0.6,0.82,1.06,0.8
0.71,1.16,0.85,1.18
0.66,0.81,1.07,1.07
0.68,1.0,1.11,1.04
0.74,1.2,0.95,1.13
0.7,0.91,0.89,1.09
0.8,0.9,1.08,1.14
0.92,0.88,1.19,0.83
0.81,0.97,0.9,0.87
0.92,0.88,0.89,0.97
1.0,1.17,0.91,1.05
1.13,1.1,1.06,0.91
1.34,1.03,1.02,0.9
1.25,0.98,1.1,1.1
1.4,0.96,1.03,1.07
1.34,0.92,1.01,1.19
1.17,0.96,1.12,0.97
1.23,1.18,1.15,1.12
1.2,1.06,1.2,0.85
1.11,1.05,1.18,1.15
0.99,1.03,0.97,1.07
1.03,1.14,0.98,0.96
1.12,0.82,1.09,0.92
0.95,0.86,0.88,1.05
1.05,0.88,0.85,1.04
0.93,1.06,0.85,1.13
0.99,0.95,0.81,1.19
1.06,0.83,1.07,1.06
1.2,1.14,1.13,1.1
1.31,1.0,0.94,0.9
1.14,0.91,1.04,1.07
0.94,0.98,0.86,1.02
0.81,0.84,0.89,1.07
0.73,1.01,1.02,1.09
0.8,1.15,0.84,1.0
0.83,1.18,0.86,0.81
0.91,1.04,1.07,1.06
0.78,1.08,0.91,1.01
0.86,1.13,0.91,1.03
0.85,0.91,0.88,1.0
0.8,0.91,0.97,1.15
0.79,1.11,1.1,1.15
0.93,1.05,1.18,1.03
1.09,0.94,0.89,0.89
0.98,1.14,0.96,0.86
1.17,0.95,0.97,1.02
0.97,1.05,1.03,1.19
0.9,1.02,0.83,1.0
0.78,0.84,0.93,1.09
0.85,0.81,1.11,1.09
0.8,0.94,1.15,0.94
0.88,1.01,1.04,0.8
1.04,0.96,0.83,1.02
0.98,1.06,1.12,1.17
1.14,1.04,1.16,1.11
1.13,1.0,1.03,1.14
1.29,1.2,1.05,0.85
1.27,1.05,0.95,1.15
1.22,0.89,0.84,1.09
1.15,0.92,0.82,0.91
1.04,0.87,0.82,0.89
1.23,0.9,0.88,0.9
1.37,1.0,0.91,1.14
1.28,1.12,0.91,0.97
1.4,1.06,0.89,0.99
1.19,0.82,0.91,0.95
1.19,0.92,0.9,1.06
0.99,0.92,1.04,0.94
0.96,0.98,0.91,0.93
1.07,0.88,1.03,1.15
0.98,1.18,0.96,0.83
1.02,1.07,0.92,0.85
0.9,1.05,1.16,1.08
0.8,1.13,1.1,1.17
0.77,0.91,1.02,1.1
0.62,1.11,0.95,1.08
0.73,1.08,1.17,1.09
0.81,0.99,1.04,1.05
0.96,1.08,1.16,0.96
1.13,1.16,1.03,0.92
1.02,1.06,1.12,0.87
1.2,0.97,1.05,1.0
1.24,0.9,0.91,1.19
1.33,0.93,1.15,1.08
1.31,1.1,0.85,1.17
1.08,0.92,1.06,1.13
1.28,1.02,1.14,0.96
1.13,1.16,0.98,0.81
1.16,1.03,0.94,0.96
1.05,0.94,1.14,0.89
1.16,0.85,1.0,0.83
1.21,1.13,1.19,1.1
1.22,1.11,1.16,1.13
1.01,0.81,1.05,0.98
1.05,0.86,0.87,0.89
1.24,1.1,0.92,0.82
1.19,0.97,1.15,0.84
1.33,0.94,1.05,1.04
1.29,1.03,0.84,0.96
1.11,0.88,0.89,1.01
1.06,1.03,0.89,1.1
1.19,1.07,1.02,1.03
1.2,0.86,1.09,0.89
